mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N14_random_year,14,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.767000230003061,0.7986004174595773,1113.4932410554404,833.29236,0.7483587036492376
N15_random_year,15,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.225123814657833,0.8071485244442205,1113.4932410554404,892.0321,0.8011113777813884
N16_random_year,16,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.802892113528555,0.8138092346197343,1113.4932410554404,928.73694,0.834075056976768
N17_random_year,17,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.714349112657427,0.8467560256368334,1113.4932410554404,1044.7437,0.9382577404362822
N18_random_year,18,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.640409978831538,0.8479224163643074,1113.4932410554404,1161.5383,1.0431480742327133
N19_random_year,19,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.502806397424658,0.8027680783534812,1113.4932410554404,866.0402,0.7777687283912744
N20_random_year,20,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.308088496448216,0.8216147676442643,1113.4932410554404,965.1483,0.8667751898654167
N21_random_year,21,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.473729692702431,0.8347767878319374,1113.4932410554404,981.094,0.8810955989375212
N1_random_year,1,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.301859246025836,0.8217130341447739,1113.4932410554404,971.32245,0.8723200221761445
N2_random_year,2,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.655784127840201,0.8003548528119583,1113.4932410554404,864.8314,0.7766831346714729
N3_random_year,3,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.243143294027824,0.7910892548844607,1113.4932410554404,782.80316,0.7030156383159566
N4_random_year,4,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.090445186000572,0.8408231055458322,1113.4932410554404,942.4887,0.8464251723726157
N5_random_year,5,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.251658264646789,0.8382799672866895,1113.4932410554404,907.4119,0.8149236051127063
N6_random_year,6,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.817975314620245,0.718921224607888,1113.4932410554404,735.2466,0.6603062819980263
N7_random_year,7,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.234953224855582,0.8227684774353179,1113.4932410554404,959.0867,0.8613313799846607
N8_random_year,8,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.122333911117869,0.8718700846336035,1113.4932410554404,1140.2628,1.024041076622969
N9_random_year,9,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.30090321738607,0.7270780431753016,1113.4932410554404,710.1028,0.63772527485667
N10_random_year,10,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.424165577594954,0.8671086864562064,1113.4932410554404,1062.7219,0.9544035694557148
N11_random_year,11,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.232635185711782,0.8543550686416863,1113.4932410554404,1254.1304,1.1263026346751819
N12_random_year,12,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.205811791912492,0.8547782080022386,1113.4932410554404,965.4547,0.8670503567663711
N13_random_year,13,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,24.88468149388067,0.6074438494376257,1113.4932410554404,594.6642,0.5340528012605191
N14_random_year,14,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.865203494327917,0.8601513080028267,1113.4932410554404,934.6876,0.8394192147806443
N15_random_year,15,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.867317118575734,0.8443429534993717,1113.4932410554404,945.15894,0.8488232354701971
N16_random_year,16,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,7.979404065490351,0.8741248046714634,1113.4932410554404,1007.87836,0.9051499549097055
N17_random_year,17,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.288630356725518,0.8692467561993619,1113.4932410554404,1218.8474,1.094615905305427
N18_random_year,18,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.32665145400563,0.8528719608759411,1113.4932410554404,988.5159,0.8877610511930925
N19_random_year,19,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,16.242976498733274,0.743766849915848,1113.4932410554404,732.3059,0.6576653375183475
N20_random_year,20,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,7.507155276892919,0.8815745350047666,1113.4932410554404,1154.8817,1.0371699362741675
