mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N2_random_year,2,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,5.32044577305552,0.8709179430707586,769.0741534394226,755.47205,0.9823136592483906
N3_random_year,3,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.6112965811970295,0.8881229744270378,769.0741534394226,743.5017,0.9667490522979045
N4_random_year,4,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.333819161179374,0.8948549960761802,769.0741534394226,713.9045,0.9282648191826155
N5_random_year,5,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,5.231775090348553,0.8730692278693183,769.0741534394226,685.21857,0.8909655380175295
N6_random_year,6,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.801794375162304,0.9077627216025289,769.0741534394226,803.16693,1.0443296365642414
N7_random_year,7,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.0391110009315705,0.9020050615295815,769.0741534394226,802.00555,1.0428195390685302
N8_random_year,8,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.64842520135556,0.8872221779777479,769.0741534394226,841.25635,1.0938559616052848
N9_random_year,9,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.04817522585514,0.9017851497313015,769.0741534394226,792.0084,1.0298206217301338
N10_random_year,10,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.355522825192342,0.8943284323796037,769.0741534394226,732.69324,0.9526951777380194
N11_random_year,11,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.511593562520432,0.8905419203728845,769.0741534394226,855.05493,1.1117977737474112
