Prediction Site,Model,Training Site,In-situ Cumulative Runoff,MAR Cumulative Runoff,Model Predicted Cumulative Runoff,MSE,normalized MSE,R^2,NSE,Error Rate
2009 AK4,2008-2016 AK4 TL Model,2008-2016 AK4,2797.838553935861,2855.9885372590807,2139.8877,62.4017860420085,4.081553179551098,0.5720715393608552,0.5720715393608552,0.23516398317472187
2009 AK4,2019-2022 Minturn TL Model,2019-2022 Minturn,2797.838553935861,2855.9885372590807,542.44196,263.28121459409925,17.220601311302357,-0.8054855801821359,-0.8054855801821359,0.8061210662769209
2009 AK4,2019-2022 North TL Model,2019-2022 North,2797.838553935861,2855.9885372590807,131.88672,347.76118734001176,22.74623644516448,-1.3848181119090062,-1.3848181119090062,0.952861211893564
2010 AK4,AK4 MAR Emulator,AK4,3424.734104956268,4432.516192850983,4212.756,70.56541594313171,3.7706492597205585,0.6803656096139823,0.6803656096139823,0.23009720762797578
2010 AK4,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,3424.734104956268,4432.516192850983,2008.3478,142.43496479687985,7.610984607566156,0.354823995097051,0.354823995097051,0.4135755603876412
2010 AK4,2008-2016 AK4 TL Model,2008-2016 AK4,3424.734104956268,4432.516192850983,2993.6624,34.756277108326245,1.857194899194932,0.8425673356115368,0.8425673356115368,0.1258701371346747
2010 AK4,2019-2022 Minturn TL Model,2019-2022 Minturn,3424.734104956268,4432.516192850983,704.7327,387.96646089305904,20.730912289126866,-0.7573399314716802,-0.7573399314716802,0.7942226446044691
2010 AK4,2019-2022 North TL Model,2019-2022 North,3424.734104956268,4432.516192850983,169.00803,522.7665827711847,27.93393055206206,-1.3679330131478227,-1.3679330131478227,0.950650759754324
2011 AK4,AK4 MAR Emulator,AK4,2378.165720116618,3394.2402661386827,3098.013,56.77796145385785,4.369067663437043,0.7190379258105467,0.7190379258105467,0.3026900998729423
2011 AK4,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,2378.165720116618,3394.2402661386827,1667.3091,79.35031538906338,6.106011701945871,0.607340090619197,0.607340090619197,0.29890963109606583
2011 AK4,2008-2016 AK4 TL Model,2008-2016 AK4,2378.165720116618,3394.2402661386827,2264.17,17.548921967090102,1.350390636284173,0.9131602933707039,0.9131602933707039,0.04793433749269083
2011 AK4,2019-2022 Minturn TL Model,2019-2022 Minturn,2378.165720116618,3394.2402661386827,586.68774,244.6307352636986,18.824350285841973,-0.21053938940792527,-0.21053938940792527,0.7533024132095153
2011 AK4,2019-2022 North TL Model,2019-2022 North,2378.165720116618,3394.2402661386827,133.47786,337.97877741707595,26.0074879324608,-0.6724661453773468,-0.6724661453773468,0.9438736088204464
2012 AK4,AK4 MAR Emulator,AK4,2828.28920116618,4253.836344181569,3878.186,130.17780115278066,8.422949676127951,0.30546865809608104,0.30546865809608104,0.3712126870042741
2012 AK4,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,2828.28920116618,4253.836344181569,1840.8751,100.7084715413933,6.516183099124349,0.46269495058802923,0.46269495058802923,0.3491206198746331
2012 AK4,2008-2016 AK4 TL Model,2008-2016 AK4,2828.28920116618,4253.836344181569,2725.6853,29.428884043125684,1.9041496101853437,0.8429894947970527,0.8429894947970527,0.03627772520204045
2012 AK4,2019-2022 Minturn TL Model,2019-2022 Minturn,2828.28920116618,4253.836344181569,678.1796,270.5329812581203,17.50441063446507,-0.4433615627133869,-0.4433615627133869,0.7602156009416534
2012 AK4,2019-2022 North TL Model,2019-2022 North,2828.28920116618,4253.836344181569,178.84044,379.24576848809096,24.538500378498888,-1.0233716514406686,-1.0233716514406686,0.9367672730323926
2013 AK4,AK4 MAR Emulator,AK4,1774.421212827988,2714.3050336971246,2534.3384,70.58339186962493,7.279421942637421,0.48875490600660165,0.48875490600660165,0.4282619935923456
2013 AK4,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,1774.421212827988,2714.3050336971246,1468.9746,44.5457686893243,4.594104044300887,0.677348947148255,0.677348947148255,0.17213872402155392
2013 AK4,2008-2016 AK4 TL Model,2008-2016 AK4,1774.421212827988,2714.3050336971246,1915.9258,14.134915466189835,1.4577652203504696,0.8976188874650725,0.8976188874650725,0.07974688726612365
2013 AK4,2019-2022 Minturn TL Model,2019-2022 Minturn,1774.421212827988,2714.3050336971246,558.3142,138.7921275716768,14.313940321496268,-0.005290230837736054,-0.005290230837736054,0.685354184819195
2013 AK4,2019-2022 North TL Model,2019-2022 North,1774.421212827988,2714.3050336971246,133.26593,207.49173697906156,21.399083595631677,-0.5028908326005828,-0.5028908326005828,0.9248961130466941
2014 AK4,AK4 MAR Emulator,AK4,2496.899755102041,3515.8498267066566,3257.3127,59.79296694657226,4.382279636522913,0.7031602387305849,0.7031602387305849,0.30454285859285846
2014 AK4,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,2496.899755102041,3515.8498267066566,1693.9944,85.34834337761885,6.255255865274397,0.5762916080817626,0.5762916080817626,0.321560915169221
2014 AK4,2008-2016 AK4 TL Model,2008-2016 AK4,2496.899755102041,3515.8498267066566,2381.8406,20.32761479034756,1.4898289364770991,0.8990843801590395,0.8990843801590395,0.0460808162983155
2014 AK4,2019-2022 Minturn TL Model,2019-2022 Minturn,2496.899755102041,3515.8498267066566,616.01715,252.3702487941283,18.496439608741152,-0.25288187272076,-0.25288187272076,0.753287191598234
2014 AK4,2019-2022 North TL Model,2019-2022 North,2496.899755102041,3515.8498267066566,141.38753,351.6361646960603,25.771726721463537,-0.7456834894200721,-0.7456834894200721,0.9433747681792527
2015 AK4,AK4 MAR Emulator,AK4,1921.6510320699717,2688.612365054658,2506.548,63.90095118043936,6.085326560787655,0.5592144538756827,0.5592144538756827,0.3043721538780699
2015 AK4,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,1921.6510320699717,2688.612365054658,1462.5273,51.503361687027116,4.904696550743338,0.6447324024277787,0.6447324024277787,0.23892146943319414
2015 AK4,2008-2016 AK4 TL Model,2008-2016 AK4,1921.6510320699717,2688.612365054658,1968.0187,20.8861157179131,1.9889975404436104,0.8559286246437887,0.8559286246437887,0.024129066055190197
2015 AK4,2019-2022 Minturn TL Model,2019-2022 Minturn,1921.6510320699717,2688.612365054658,533.14136,159.25550878368233,15.165999248063626,-0.09853648679347837,-0.09853648679347837,0.7225607831367885
2015 AK4,2019-2022 North TL Model,2019-2022 North,1921.6510320699717,2688.612365054658,138.31699,223.16582000221268,21.252217170988352,-0.5393865979896058,-0.5393865979896058,0.9280217980394747
2016 AK4,AK4 MAR Emulator,AK4,1511.4941632653065,2252.486669626012,2111.621,76.30058421646466,5.50234587848345,0.5610286483829521,0.5610286483829521,0.39704217526598257
2016 AK4,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,1511.4941632653065,2252.486669626012,1159.3975,83.4578826358469,6.018487817151148,0.5198513888200453,0.5198513888200453,0.23294612105359772
2016 AK4,2008-2016 AK4 TL Model,2008-2016 AK4,1511.4941632653065,2252.486669626012,1599.4019,32.778940888688915,2.363822926810704,0.8114166996983736,0.8114166996983736,0.05815946520993175
2016 AK4,2019-2022 Minturn TL Model,2019-2022 Minturn,1511.4941632653065,2252.486669626012,400.45557,231.0729698534806,16.663612950788767,-0.329405468390366,-0.329405468390366,0.7350597996745558
2016 AK4,2019-2022 North TL Model,2019-2022 North,1511.4941632653065,2252.486669626012,109.88744,324.4128908251686,23.394734799076172,-0.8664072710571502,-0.8664072710571502,0.9272987973006203
2019 Minturn,Minturn MAR Emulator,Minturn,284.2298440120398,323.5927214179857,258.06915,1.2389343922373548,0.3225598822820334,0.9009315863962684,0.9009315863962684,0.09204062040332539
2019 Minturn,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,284.2298440120398,323.5927214179857,634.37213,30.05786750250472,7.825646187566182,-1.4035051964348217,-1.4035051964348217,1.2318983903772773
2019 Minturn,2008-2016 AK4 TL Model,2008-2016 AK4,284.2298440120398,323.5927214179857,678.49677,56.747841218610624,14.774452221137292,-3.5377048536135547,-3.5377048536135547,1.3871411796854733
2019 Minturn,2019-2022 Minturn TL Model,2019-2022 Minturn,284.2298440120398,323.5927214179857,233.0937,5.015996558087679,1.30592811809996,0.598907880219437,0.598907880219437,0.17991122630402206
2019 Minturn,2019-2022 North TL Model,2019-2022 North,284.2298440120398,323.5927214179857,49.39499,21.487612924672657,5.594357488928651,-0.7182053689978887,-0.7182053689978887,0.8262146285680699
2020 Minturn,Minturn MAR Emulator,Minturn,335.27216999112864,369.8232878505649,320.22897,1.3195008763198623,0.4447240551701314,0.8635514165270867,0.8635514165270867,0.04486861108351106
2020 Minturn,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,335.27216999112864,369.8232878505649,644.9329,17.211274280964158,5.800881098483094,-0.7798048016089778,-0.7798048016089778,0.9236100699331719
2020 Minturn,2008-2016 AK4 TL Model,2008-2016 AK4,335.27216999112864,369.8232878505649,923.0242,65.61241195732686,22.11398145982147,-5.784929688556152,-5.784929688556152,1.7530593128153118
