t2m,ts,al2,swd,date,dailyQ,time,runoff
3.7364175,-0.13006686,0.505978,353.58212,2020-06-30,377859.02431679994,2020-06-30,1.7067813150498061
4.141494,0.07983063,0.50171995,311.57028,2020-07-01,306218.0111616,2020-07-01,1.3831803560264857
7.445623,0.06047455,0.49887118,341.80533,2020-07-02,343749.2944608,2020-07-02,1.5527083782319548
6.7180405,0.034321677,0.49826816,344.45258,2020-07-03,354754.0193472,2020-07-03,1.6024164905294758
5.7808595,-0.15280686,0.48782197,351.61746,2020-07-04,323720.877888,2020-07-04,1.4622404391949115
5.291407,-0.086753264,0.49275854,303.85574,2020-07-05,363390.92933759996,2020-07-05,1.6414292324324518
6.6452994,0.15718457,0.48823217,280.9572,2020-07-06,368533.98558720003,2020-07-06,1.66466031001473
7.345071,0.11461969,0.4893915,311.60678,2020-07-07,539402.1332544,2020-07-07,2.436468161641
7.7783713,0.19192031,0.48719448,356.8362,2020-07-08,540591.3959904,2020-07-08,2.4418400365622355
7.480044,0.08932621,0.48825565,361.93408,2020-07-09,635701.5006911999,2020-07-09,2.8714503915597533
5.666888,0.2352538,0.49735117,223.3373,2020-07-10,612037.748736,2020-07-10,2.7645617185840714
4.671729,0.34863743,0.50677085,274.2274,2020-07-11,1323904.636512,2020-07-11,5.980049571641321
6.8355317,0.3781212,0.48805317,335.14926,2020-07-12,902408.823648,2020-07-12,4.076161794794543
6.010815,0.14777708,0.48895526,345.76514,2020-07-13,816498.024336,2020-07-13,3.688104509959713
3.435755,0.18348007,0.5180367,266.2377,2020-07-14,885297.8842559999,2020-07-14,3.998872039203765
4.090542,0.27652717,0.49937826,174.57439,2020-07-15,567635.4111744,2020-07-15,2.5639972878901145
5.2621818,0.4690694,0.48418218,270.29352,2020-07-16,1234367.815392,2020-07-16,5.57561362208875
5.910981,0.45423883,0.4885076,256.9601,2020-07-17,2176782.365376,2020-07-17,9.832480446566622
7.952058,0.48018432,0.4889557,237.00317,2020-07-18,1952441.630784,2020-07-18,8.819138037453888
8.375892,0.4451371,0.4886048,219.66406,2020-07-19,926717.251968,2020-07-19,4.185962457435377
9.610191,0.4958237,0.48827597,253.69186,2020-07-20,1352818.6488,2020-07-20,6.110653560802378
8.5230665,0.44930172,0.48649973,292.35773,2020-07-21,997069.809312,2020-07-21,4.50374348849006
8.404547,0.48535052,0.48780507,321.3298,2020-07-22,1185692.555808,2020-07-22,5.35574849192974
9.190202,0.4622565,0.48687416,317.5302,2020-07-23,1106251.992,2020-07-23,4.996917125629386
8.025697,0.35314035,0.48271418,313.99832,2020-07-24,893302.7284799999,2020-07-24,4.035029753250982
5.855057,0.49589533,0.47144917,302.67987,2020-07-25,662539.9883328,2020-07-25,2.9926792792744283
6.460093,0.40789455,0.46650758,302.99673,2020-07-26,747715.1668992,2020-07-26,3.3774137805768993
5.924178,0.30147225,0.46710873,302.86215,2020-07-27,1144854.0432,2020-07-27,5.1712817840622005
6.050302,0.25854042,0.47239646,287.8147,2020-07-28,1149089.537088,2020-07-28,5.190413421426471
5.304564,0.10233947,0.47121054,276.0833,2020-07-29,599102.2750176,2020-07-29,2.7061324541677942
4.007859,0.5151482,0.4711326,232.28966,2020-07-30,391881.85646399995,2020-07-30,1.770122154761641
3.674909,0.4802974,0.47038752,213.65848,2020-07-31,327704.4606528,2020-07-31,1.4802341992809873
3.9227738,0.059315886,0.46883613,266.79962,2020-08-01,246620.97086399997,2020-08-01,1.1139817706648405
3.022908,0.022808416,0.50137085,95.02882,2020-08-02,188030.5445664,2020-08-02,0.8493300397015361
1.0609767,0.25261015,0.5751117,180.24654,2020-08-03,83888.8312608,2020-08-03,0.3789240974095576
0.48539686,-0.23232105,0.6514887,109.04057,2020-08-04,30333.054182400003,2020-08-04,0.13701377173807486
-0.33859485,-2.0229173,0.67253673,244.47124,2020-08-05,15070.4451936,2020-08-05,0.06807288594582607
1.2827803,-2.9891493,0.6626482,269.1992,2020-08-06,15967.890547199999,2020-08-06,0.07212662785015735
3.8998494,-1.3719609,0.6415819,254.86806,2020-08-07,22056.628060799998,2020-08-07,0.09962932793584443
3.1754305,-0.9835599,0.5947496,251.2937,2020-08-08,42974.8438464,2020-08-08,0.1941164714190406
3.3040864,-0.9688811,0.5880574,221.03445,2020-08-09,82179.7989984,2020-08-09,0.3712044344014935
3.934397,-1.4013922,0.5828582,241.34859,2020-08-10,75940.240608,2020-08-10,0.3430204795676709
2.6255453,-1.1122059,0.58525854,222.94475,2020-08-11,50955.420556799996,2020-08-11,0.23016456961455262
0.8480764,-2.776118,0.5826975,238.89151,2020-08-12,20150.6833728,2020-08-12,0.09102021561709388
1.8393351,0.024828332,0.5580405,106.04224,2020-08-13,35471.3365728,2020-08-13,0.16022328589812676
2.833174,-0.085595675,0.53971016,204.02762,2020-08-14,86146.1124768,2020-08-14,0.3891201894818528
2.866059,-1.80837,0.53658354,207.17737,2020-08-15,154263.3982272,2020-08-15,0.6968045454685892
2.480924,-1.3723831,0.5441999,222.15065,2020-08-16,90647.8502112,2020-08-16,0.4094544447354383
3.2849636,-0.6457423,0.54252476,126.007675,2020-08-17,49654.2431232,2020-08-17,0.22428717834343406
4.7799363,0.616275,0.5000412,82.7052,2020-08-18,903673.9382399999,2020-08-18,4.081876290963919
4.9895163,0.65538037,0.48159695,63.600624,2020-08-19,2279047.20768,2020-08-19,10.294408601773638
5.315053,0.6580772,0.46843654,59.550316,2020-08-20,3410093.047392,2020-08-20,15.403319019291565
3.016546,0.548318,0.46799412,136.52492,2020-08-21,1284708.05568,2020-08-21,5.802999435287273
1.1975477,-1.3113588,0.472138,138.79556,2020-08-22,990300.76416,2020-08-22,4.473167853021114
