t2m,ts,al2,swd,date,dailyQ,time,runoff
3.063796,-0.5933284,0.6546828,324.35068,2020-07-03,23351281.2576,2020-07-03,6.275586095737602
1.9510388,-0.8728895,0.6526055,365.07864,2020-07-04,23823978.465600003,2020-07-04,6.402622038360809
2.1461568,-0.48306403,0.6482929,312.4581,2020-07-05,23485572.91584,2020-07-05,6.311676572055694
3.0936766,-0.9550371,0.6442559,374.96313,2020-07-06,19910144.07936,2020-07-06,5.350790903942283
3.8120232,-0.766337,0.6383644,370.5084,2020-07-07,22764634.88256,2020-07-07,6.117926659679135
4.340963,-0.6970294,0.63101554,375.15057,2020-07-08,24751252.244159997,2020-07-08,6.651824057191327
3.9751558,-1.0290692,0.63343424,369.98953,2020-07-09,26485896.283200003,2020-07-09,7.118004387613693
3.6148458,-0.7740524,0.63117564,340.16336,2020-07-10,27134409.68064,2020-07-10,7.292290398517246
2.8334444,-0.4236607,0.6316206,270.11243,2020-07-11,31171818.539520003,2020-07-11,8.377331798091364
3.5919018,-0.8006069,0.62692183,355.51562,2020-07-12,28929155.39136,2020-07-12,7.774622871126791
4.190531,-0.5757442,0.62131286,356.65247,2020-07-13,27087813.83232,2020-07-13,7.2797679054424425
1.9885778,-0.7575135,0.6376655,325.99716,2020-07-14,28465153.3584,2020-07-14,7.649923730453725
1.4216195,-0.43352285,0.65362376,166.48808,2020-07-15,20333608.55424,2020-07-15,5.464595698689073
2.1508307,-0.18853454,0.68345195,240.59195,2020-07-16,21801749.451840002,2020-07-16,5.859154117215407
2.8960319,-0.90296143,0.66292924,265.74945,2020-07-17,24310481.72832,2020-07-17,6.533368316364844
4.962281,-0.00700893,0.61198974,231.85484,2020-07-18,32892503.2848,2020-07-18,8.839760610605131
3.9475024,-0.00375976,0.60972905,129.16058,2020-07-19,37524329.861760005,2020-07-19,10.084549971136587
3.4126847,-0.096835494,0.6127291,276.02213,2020-07-20,33021411.88608,2020-07-20,8.874404406673085
3.8584998,-0.2099797,0.61218154,303.99908,2020-07-21,30154667.72256,2020-07-21,8.103975597471544
4.3290315,-0.7276375,0.61154723,332.6911,2020-07-22,28046122.0416,2020-07-22,7.537310333510772
4.5922375,-0.7632771,0.60943806,332.8176,2020-07-23,27808477.49376,2020-07-23,7.473444081218205
4.5018773,-0.91654074,0.60828537,327.95282,2020-07-24,27361935.50976,2020-07-24,7.353437275808269
4.441948,-0.886208,0.60991323,324.63565,2020-07-25,25216520.66784,2020-07-25,6.776863536533887
3.4962633,-0.9805593,0.6093202,318.38098,2020-07-26,23983540.74144,2020-07-26,6.445503916602064
3.1580799,-1.1880978,0.60792917,315.55185,2020-07-27,25359918.27264,2020-07-27,6.815401208403694
3.1467683,-1.0942172,0.61373305,304.69122,2020-07-28,23844850.29504,2020-07-28,6.408231279292015
3.1612163,-0.83615446,0.6085305,265.11438,2020-07-29,22863145.59648,2020-07-29,6.144401115608885
2.1248562,-1.0912651,0.6104266,278.8164,2020-07-30,21459430.336319998,2020-07-30,5.767156891968363
1.2023098,-1.4884337,0.61763835,282.27817,2020-07-31,19568942.77248,2020-07-31,5.259094086380859
1.2049011,-1.6995219,0.61555165,271.64716,2020-08-01,16913786.731200002,2020-08-01,4.545528944029308
0.4573544,-1.3495095,0.63277155,159.70888,2020-08-02,14839119.518399999,2020-08-02,3.987968415752388
-2.7234416,-2.7479858,0.8134319,169.6074,2020-08-03,11933811.70848,2020-08-03,3.2071757434086474
-5.925127,-8.241638,0.850105,270.8516,2020-08-04,7763864.144544,2020-08-04,2.086514968374103
-6.3769555,-9.665393,0.8491905,279.28955,2020-08-05,5557990.982976,2020-08-05,1.493693238851598
-4.3746,-8.752858,0.845888,280.1048,2020-08-06,4973265.934848,2020-08-06,1.336550153580108
-1.9701481,-7.2440157,0.84537435,271.6771,2020-08-07,4459777.16832,2020-08-07,1.1985516031797194
-1.3611035,-6.7200017,0.8408661,262.48828,2020-08-08,3947088.534912,2020-08-08,1.060768086131343
-1.4420896,-6.5978613,0.8400853,236.0357,2020-08-09,3935015.150112,2020-08-09,1.0575234005424223
0.006620443,-5.1348495,0.83869696,208.9174,2020-08-10,3863868.6752640004,2020-08-10,1.0384030009638539
-1.2684343,-5.9414496,0.8387307,236.77396,2020-08-11,3455220.9873599997,2020-08-11,0.928580172829701
-4.080042,-8.340159,0.838078,210.46477,2020-08-12,3095530.851168,2020-08-12,0.8319145384022189
-2.1622975,-3.9543998,0.8272104,157.37769,2020-08-13,2644038.441792,2020-08-13,0.7105773211696984
-2.8201928,-6.2555404,0.82791495,224.02351,2020-08-14,2561505.48288,2020-08-14,0.6883968384940569
-3.3174157,-7.5645537,0.82755685,218.82451,2020-08-15,2375492.740416,2020-08-15,0.6384064774787626
-3.0300026,-7.299194,0.8225102,222.25853,2020-08-16,2241840.9743999997,2020-08-16,0.6024879702573309
-2.934488,-7.6156707,0.8192251,200.06181,2020-08-17,2105504.4096,2020-08-17,0.5658479314962439
1.8948439,-2.088979,0.75817215,113.35466,2020-08-18,1947913.360992,2020-08-18,0.5234958146017932
3.5223117,-0.14089347,0.6344334,97.123436,2020-08-19,11960206.26048,2020-08-19,3.2142691992968766
4.005399,-0.036021173,0.60402596,90.19928,2020-08-20,38745142.83648,2020-08-20,10.412639759663946
1.2321894,-0.792544,0.65435076,151.70877,2020-08-21,32067367.845119998,2020-08-21,8.618007960922544
-0.8311889,-2.2356572,0.66541374,103.464355,2020-08-22,12227257.08288,2020-08-22,3.2860382987917185
-1.3713247,-1.8703375,0.8131298,90.75094,2020-08-23,7257556.483775999,2020-08-23,1.9504463183916967
-3.1164272,-4.2310853,0.8574336,133.49255,2020-08-24,5869380.848544,2020-08-24,1.5773783218735897
-3.1862402,-3.792647,0.83622664,66.76723,2020-08-25,5698379.3932799995,2020-08-25,1.5314221988168992
-1.7865704,-2.4341938,0.8067843,55.06053,2020-08-26,3711683.818944,2020-08-26,0.9975037818688508
-1.1261586,-2.1739078,0.7957393,97.953255,2020-08-27,3801318.0137279998,2020-08-27,1.0215927001720393
-2.0530171,-4.3914027,0.7942683,149.47667,2020-08-28,4206802.0248,2020-08-28,1.130565299741888
-6.65946,-9.598619,0.7988188,150.36652,2020-08-29,4139869.9104,2020-08-29,1.112577496766398
-7.3037615,-10.77134,0.79965675,155.38425,2020-08-30,3582512.246304,2020-08-30,0.9627893130445624
-7.9289265,-11.2971735,0.7944759,134.54047,2020-08-31,3026592.1797120003,2020-08-31,0.8133874792967537
-9.61876,-12.9137,0.7964223,136.74731,2020-09-01,2661313.260384,2020-09-01,0.7152198763325788
-10.147749,-14.118452,0.801787,136.47095,2020-09-02,2199245.408928,2020-09-02,0.5910405410791498
-11.747616,-14.772634,0.8025848,123.426094,2020-09-03,1488997.728,2020-09-03,0.40016362851098103
-13.456771,-16.52781,0.80806315,127.33585,2020-09-04,1174839.472512,2020-09-04,0.3157345490847713
-13.661238,-17.299341,0.8137659,129.34102,2020-09-05,1159417.067328,2020-09-05,0.31158982441344124
-12.74178,-16.501118,0.8125343,101.45622,2020-09-06,1056930.247008,2020-09-06,0.2840468019342262
-13.758695,-17.332943,0.8090564,116.72491,2020-09-07,932968.138176,2020-09-07,0.2507323607263708
-9.100002,-10.526612,0.80323,71.10994,2020-09-08,823327.3819583999,2020-09-08,0.22126673964738228
-10.140757,-12.936774,0.79366827,108.640076,2020-09-09,687456.4230431999,2020-09-09,0.1847518310572915
-11.028888,-13.423183,0.79321474,62.063915,2020-09-10,645118.6898591999,2020-09-10,0.1733736935254126
-7.3020425,-8.962951,0.7934094,62.772247,2020-09-11,645118.6898591999,2020-09-11,0.1733736935254126
-7.9769626,-10.072133,0.7919329,68.01207,2020-09-12,606776.1813216,2020-09-12,0.16306926051380008
-10.7917185,-13.280946,0.79143655,68.768555,2020-09-13,513658.6605504,2020-09-13,0.13804420890421829
-11.373789,-14.674505,0.7913637,82.945625,2020-09-14,513658.6605504,2020-09-14,0.13804420890421829
-14.758257,-18.90219,0.79392344,89.66957,2020-09-15,513658.6605504,2020-09-15,0.13804420890421829
-16.953165,-21.63992,0.79774404,88.47172,2020-09-16,513658.6605504,2020-09-16,0.13804420890421829
-15.711934,-19.99213,0.79234254,69.06794,2020-09-17,513658.6605504,2020-09-17,0.13804420890421829
-14.969761,-19.10362,0.7902396,75.11416,2020-09-18,513658.6605504,2020-09-18,0.13804420890421829
-18.037802,-22.078548,0.79018587,62.475216,2020-09-19,513658.6605504,2020-09-19,0.13804420890421829
-13.67735,-16.645384,0.7899714,44.98168,2020-09-20,513658.6605504,2020-09-20,0.13804420890421829
-18.488596,-22.22161,0.7914971,62.85661,2020-09-21,513658.6605504,2020-09-21,0.13804420890421829
-19.729837,-23.417923,0.79644644,60.773262,2020-09-22,513658.6605504,2020-09-22,0.13804420890421829
-18.142864,-21.406708,0.7921298,48.239407,2020-09-23,513658.6605504,2020-09-23,0.13804420890421829
-16.087347,-19.307081,0.79150605,49.075592,2020-09-24,513658.6605504,2020-09-24,0.13804420890421829
-18.89833,-23.01104,0.7987783,53.03007,2020-09-25,618826.684032,2020-09-25,0.16630779661046166
-18.347092,-22.328577,0.7940386,34.841953,2020-09-26,513658.6605504,2020-09-26,0.13804420890421829
-18.751842,-22.7593,0.79495794,41.332367,2020-09-27,513658.6605504,2020-09-27,0.13804420890421829
-18.02977,-21.871927,0.79489577,40.810642,2020-09-28,513658.6605504,2020-09-28,0.13804420890421829
-17.106026,-21.246748,0.7952679,38.49166,2020-09-29,513658.6605504,2020-09-29,0.13804420890421829
-18.389065,-22.993288,0.8000226,36.50806,2020-09-30,513658.6605504,2020-09-30,0.13804420890421829
-24.756481,-29.220596,0.8120942,114.16499,2021-04-05,690895.0651968,2021-04-05,0.1856759557187735
-20.70779,-23.803646,0.80839604,87.705315,2021-04-06,676125.3648384,2021-04-06,0.18170664349196713
-20.839066,-23.71542,0.8088534,122.2833,2021-04-07,668740.5146592,2021-04-07,0.17972198737856396
-20.970982,-24.634596,0.80853677,106.26253,2021-04-08,624431.4134976,2021-04-08,0.16781405067492516
-18.313528,-22.76196,0.80977154,129.28918,2021-04-09,591199.5875616,2021-04-09,0.15888309812978124
-14.193913,-16.640402,0.8091388,80.316444,2021-04-10,594892.0126944,2021-04-10,0.15987542619809272
-13.996315,-15.198293,0.80852205,65.78663,2021-04-11,603939.6661248,2021-04-11,0.1623069556478265
-17.928825,-19.011332,0.80958223,136.24886,2021-04-12,873329.8849920001,2021-04-12,0.23470476085607334
-24.483809,-27.36638,0.8098286,147.52155,2021-04-13,869355.89712,2021-04-13,0.23363676365459057
-29.938913,-32.697914,0.8103448,161.86638,2021-04-14,895715.6523839999,2021-04-14,0.24072086802543596
-27.352732,-30.66835,0.81309956,166.41052,2021-04-15,1001154.672576,2021-04-15,0.2690572852766202
-24.113848,-27.679808,0.81317586,171.35403,2021-04-16,992368.0872000001,2021-04-16,0.266695917075606
-19.589903,-22.204515,0.8091008,165.53091,2021-04-17,983581.502688,2021-04-17,0.2643345491067891
-19.527443,-20.529926,0.80925494,134.6489,2021-04-18,849415.186656,2021-04-18,0.22827775812737655
-19.960562,-21.701195,0.8090333,153.31572,2021-04-19,817025.8658688,2021-04-19,0.21957322628862003
-23.285408,-26.014353,0.8108709,192.51054,2021-04-20,763242.286896,2021-04-20,0.20511905237596345
-20.548206,-23.541824,0.81079185,170.03235,2021-04-21,731308.9474656,2021-04-21,0.1965370641454605
-14.221036,-16.570614,0.80919564,138.65614,2021-04-22,692963.9372159999,2021-04-22,0.1862319588063268
-13.68841,-15.196338,0.8090691,140.60292,2021-04-23,762499.5228576001,2021-04-23,0.20491943679083235
-9.731602,-13.196563,0.8091886,189.34244,2021-04-24,769164.8664096,2021-04-24,0.20671072767790655
-7.907885,-11.960136,0.8116937,211.75859,2021-04-25,815118.5169216,2021-04-25,0.21906063203733578
-5.4955354,-9.825813,0.81296784,205.35681,2021-04-26,791077.3730495999,2021-04-26,0.21259964745390322
-1.7903197,-4.2420926,0.80061364,140.20717,2021-04-27,833216.3255808,2021-04-27,0.2239243632875442
-5.041186,-6.8318424,0.81110555,187.41608,2021-04-28,839404.2064896,2021-04-28,0.225587337535722
-8.07694,-11.454723,0.8098985,226.72641,2021-04-29,839404.2064896,2021-04-29,0.225587337535722
-5.7141576,-9.888964,0.8105777,221.24887,2021-04-30,839404.2064896,2021-04-30,0.225587337535722
-4.2807927,-8.380569,0.81061167,193.88045,2021-05-01,805472.3788128,2021-05-01,0.21646826164337946
-3.339003,-8.045866,0.81097287,226.70529,2021-05-02,811548.3646368,2021-05-02,0.21810116442650118
-6.155095,-9.881785,0.8090634,249.1237,2021-05-03,823213.7467776,2021-05-03,0.22123620053679785
-10.664523,-14.914845,0.8129128,267.35977,2021-05-04,763952.6665728,2021-05-04,0.20530996476202235
-9.615065,-14.076314,0.81110376,250.41693,2021-05-05,730619.323488,2021-05-05,0.19635172979068263
-5.987353,-7.779325,0.8106303,173.29543,2021-05-06,758961.7549344001,2021-05-06,0.20396867237906996
-6.8221703,-7.4058876,0.8265489,156.83134,2021-05-07,777132.0533664,2021-05-07,0.20885188503611202
-10.112034,-9.622196,0.8241647,193.72232,2021-05-08,1063624.59072,2021-05-08,0.285845886526445
-11.78619,-12.939809,0.8186507,254.55591,2021-05-09,1070404.080768,2021-05-09,0.28766785393851463
-13.3536415,-15.833977,0.8174285,270.7631,2021-05-10,848489.3557056,2021-05-10,0.22802894386424302
-11.754562,-12.235036,0.8171617,193.58842,2021-05-11,1047839.7254400001,2021-05-11,0.2816037518023806
-11.98911,-12.005739,0.81468785,189.394,2021-05-12,1020664.05264,2021-05-12,0.27430037206554114
-11.156826,-11.695598,0.8128877,236.3094,2021-05-13,1001154.672576,2021-05-13,0.2690572852766202
0.50696504,-3.060763,0.70624894,326.72562,2021-06-15,9894708.20448,2021-06-15,2.65917285413218
1.0345806,-0.8294831,0.68630177,229.87463,2021-06-16,9879433.24608,2021-06-16,2.6550677553373627
0.53926814,-2.0098693,0.69086826,339.14688,2021-06-17,9900577.86624,2021-06-17,2.6607503079481565
-0.41961288,-3.6723776,0.69112384,377.30057,2021-06-18,9840878.991360001,2021-06-18,2.6447064161807115
0.009075524,-3.881827,0.68907934,396.65884,2021-06-19,9183742.632,2021-06-19,2.468103010384249
-0.63438344,-3.9669025,0.6883362,395.16068,2021-06-20,8529881.5152,2021-06-20,2.292379816103505
-1.0134202,-2.7767808,0.68933135,274.0161,2021-06-21,8045384.138208,2021-06-21,2.162172613812078
-0.3910218,-2.89672,0.686494,331.661,2021-06-22,7435848.46608,2021-06-22,1.9983617485038805
1.9766892,-2.5471473,0.68529785,365.86862,2021-06-23,7321864.025376,2021-06-23,1.9677287753782782
1.4820703,-2.2769897,0.68211013,385.9616,2021-06-24,12455463.66624,2021-06-24,3.3473681267224107
0.70069945,-2.114642,0.6800864,355.15622,2021-06-25,16928396.35776,2021-06-25,4.549455236907734
0.96737576,-1.8912382,0.67968166,368.8775,2021-06-26,15988770.46368,2021-06-26,4.296933624451702
1.217791,-1.1736133,0.6814984,299.10864,2021-06-27,15710758.375680001,2021-06-27,4.222218718033798
0.5084742,-2.5127392,0.67936003,363.8691,2021-06-28,13877694.86112,2021-06-28,3.729588451725277
0.76459324,-1.6858083,0.68399495,315.58838,2021-06-29,16880806.14912,2021-06-29,4.536665512509326
-0.89381033,-2.06398,0.6923142,293.15613,2021-06-30,16612726.311360002,2021-06-30,4.464619868253865
-2.0163274,-2.7515888,0.72061604,195.5095,2021-07-01,11459426.60736,2021-07-01,3.0796861846228816
-4.3016095,-4.919595,0.7492055,303.74246,2021-07-02,5847975.081792001,2021-07-02,1.571625586907335
-4.2013254,-4.8236804,0.7418966,314.98578,2021-07-03,4357898.159903999,2021-07-03,1.1711719283083502
-4.2948365,-5.054485,0.73255354,310.38187,2021-07-04,2888711.5795199997,2021-07-04,0.7763324857016911
-3.446121,-6.2228312,0.7296527,357.63568,2021-07-05,3969955.319616,2021-07-05,1.0669134652460734
-1.1920798,-4.512082,0.7178667,348.9332,2021-07-06,3360672.479808,2021-07-06,0.9031705478579253
0.12959981,-3.494189,0.7063024,374.33167,2021-07-07,4426490.404512,2021-07-07,1.1896058862479086
-0.20108475,-2.0844193,0.700282,262.0606,2021-07-08,7582086.328319999,2021-07-08,2.0376627309561837
1.4275045,-1.1321084,0.6907877,315.44995,2021-07-09,9215162.49312,2021-07-09,2.4765470028744048
0.75650686,-2.604362,0.69609666,359.0105,2021-07-10,13412256.886079999,2021-07-10,3.60450340596837
-0.10053167,-3.298523,0.6898523,343.57407,2021-07-11,11095639.59744,2021-07-11,2.981919527792397
0.9320651,-2.8244045,0.69022715,318.8012,2021-07-12,10600030.25856,2021-07-12,2.8487260194070374
2.453333,-0.32834774,0.67770135,209.46336,2021-07-13,19491749.18496,2021-07-13,5.238348543591298
0.6747321,-0.8075881,0.6884457,216.63364,2021-07-14,19868669.098559998,2021-07-14,5.3396446284999115
-0.639402,-1.8024464,0.7096963,219.96248,2021-07-15,16311964.97376,2021-07-15,4.383791169924359
-0.22354032,-1.5749874,0.71337104,209.1006,2021-07-16,10991544.912,2021-07-16,2.9539443964331777
-2.7569978,-3.370424,0.7112008,188.99254,2021-07-17,7944563.286144,2021-07-17,2.1350773152546454
