t2m,ts,al2,swd,date,dailyQ,runoff
-4.0757003,-6.1824512,0.8485955,113.709305,2008-09-22,0.0,0.0
-7.4656696,-9.438538,0.8480864,119.72279,2008-09-23,0.0,0.0
-14.994592,-16.620857,0.85013914,124.20497,2008-09-24,0.0,0.0
-13.004198,-14.996172,0.8451818,117.98891,2008-09-25,0.0,0.0
-4.2297077,-5.8248415,0.84237576,62.338104,2008-09-26,0.0,0.0
-0.12165165,-1.0531813,0.81366014,30.218803,2008-09-27,0.0,0.0
-2.3618588,-2.4149616,0.83933103,49.10997,2008-09-28,0.0,0.0
-7.495962,-9.195061,0.8467629,86.25497,2008-09-29,0.0,0.0
-7.984659,-9.507863,0.83636737,82.98163,2008-09-30,0.0,0.0
-5.404648,-5.9244823,0.82913864,46.615425,2008-10-01,0.0,0.0
-12.153062,-14.555805,0.8320253,98.62072,2008-10-02,0.0,0.0
-14.8696375,-17.737886,0.8307885,91.07218,2008-10-03,0.0,0.0
-9.33016,-12.278019,0.8266369,78.57857,2008-10-04,0.0,0.0
-10.808483,-12.862549,0.8258996,67.91643,2008-10-05,0.0,0.0
-19.595451,-21.513147,0.8314817,85.04068,2008-10-06,0.0,0.0
-6.3482676,-9.577415,0.8263154,62.099743,2008-10-07,0.0,0.0
-5.7156043,-8.790116,0.83152294,76.70384,2008-10-08,0.0,0.0
-8.664349,-11.256565,0.83127546,75.701385,2008-10-09,0.0,0.0
-8.140872,-10.359432,0.8275018,56.836517,2008-10-10,0.0,0.0
-7.1843004,-7.7569547,0.8169162,44.360382,2008-10-11,0.0,0.0
-13.1748,-14.309908,0.8124392,52.68523,2008-10-12,0.0,0.0
-16.765347,-19.17279,0.81609917,55.913086,2008-10-13,0.0,0.0
-8.858417,-9.970848,0.8120949,34.132828,2008-10-14,0.0,0.0
-5.8152723,-6.879572,0.8114012,33.947853,2008-10-15,0.0,0.0
-8.666641,-9.89183,0.810961,36.386192,2008-10-16,0.0,0.0
-9.871374,-10.350812,0.81058574,31.734715,2008-10-17,0.0,0.0
-12.27191,-14.537258,0.81244105,48.169456,2008-10-18,0.0,0.0
-8.607901,-9.360663,0.81034684,32.765133,2008-10-19,0.0,0.0
-5.779546,-6.090089,0.818418,16.95798,2008-10-20,0.0,0.0
-17.386497,-19.13583,0.81835103,34.33973,2008-10-21,0.0,0.0
-18.23429,-19.413803,0.816887,39.47148,2008-10-22,0.0,0.0
-23.629963,-25.436409,0.8200052,42.362244,2008-10-23,0.0,0.0
-21.15999,-22.480812,0.8164815,33.66371,2008-10-24,0.0,0.0
-23.032364,-25.362946,0.82299256,38.438484,2008-10-25,0.0,0.0
-13.705124,-16.402477,0.8183584,27.117558,2008-10-26,0.0,0.0
-1.34422,-2.6114252,0.81422555,7.938521,2008-10-27,0.0,0.0
-1.4943097,-2.0632355,0.8244231,7.8474655,2008-10-28,37443.6,1.0916501457725947
-1.6258497,-3.0130444,0.8361264,25.766197,2008-10-29,39978.0,1.165539358600583
3.111539,-0.10295254,0.72913593,6.4445333,2008-10-30,169347.6,4.937247813411078
-6.3968344,-6.4988174,0.81379235,18.753792,2008-10-31,356880.6,10.404682215743438
-13.488569,-15.046957,0.82577133,23.555801,2008-11-01,258490.8,7.536174927113702
-8.48385,-9.573175,0.8194514,15.60408,2008-11-02,425928.6,12.417743440233236
-10.368204,-10.92366,0.81226814,12.959131,2008-11-03,506500.2,14.766769679300292
-14.482336,-16.18896,0.8157195,19.777079,2008-11-04,697181.4,20.32598833819242
-17.974602,-19.758728,0.814905,11.592182,2008-11-05,855883.8,24.952880466472305
-18.287474,-20.995316,0.81495357,17.38986,2008-11-06,800431.2,23.336186588921283
-17.41156,-18.66975,0.81223273,9.2395735,2008-11-07,728677.8,21.244250728862976
-12.335941,-15.0385,0.81188524,10.490093,2008-11-08,712270.8,20.76591253644315
-14.493426,-17.516108,0.8170421,13.553544,2008-11-09,661683.6,19.291067055393583
-16.404364,-19.252579,0.8209648,13.798346,2008-11-10,595924.2,17.3738833819242
-12.249966,-15.684067,0.8204968,12.684971,2008-11-11,580332.6,16.91931778425656
-12.848322,-15.837585,0.8151809,8.69949,2008-11-12,583632.0,17.015510204081632
-9.14022,-10.221352,0.81167555,5.928073,2008-11-13,621041.4,18.106163265306122
-9.535635,-10.335723,0.81078583,5.1141047,2008-11-14,788464.8,22.987311953352773
-5.9517107,-6.673947,0.8102379,4.188645,2008-11-15,780165.0,22.74533527696793
-4.7511425,-5.3301973,0.8158184,2.681427,2008-11-16,605584.8,17.655533527696793
-8.314314,-10.129433,0.820423,2.7035627,2008-11-17,413839.8,12.065300291545189
-2.8115559,-3.2289412,0.8017804,1.7870088,2008-11-18,401740.2,11.712542274052478
-10.008572,-10.542322,0.81599545,3.493011,2008-11-19,428628.60000000003,12.496460641399418
-15.881311,-17.98597,0.81923854,5.0868244,2008-11-20,429442.2,12.520180758017492
-3.8477135,-5.0477123,0.792483,0.76544577,2008-11-21,410491.8,11.967690962099125
-4.7088656,-5.845554,0.817155,2.3160043,2008-11-22,505060.2,14.724787172011661
-11.679279,-13.745623,0.8163156,2.7475266,2008-11-23,519649.2,15.150122448979591
-7.6522007,-8.193708,0.81277275,2.1375728,2008-11-24,503517.6,14.679813411078715
